Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,99.22,8446.6339,19.9701,4.7731
2014-01-03,98.04,8346.1801,19.7326,4.7163
2014-01-06,98.39,8375.9757,19.803,4.7331
2014-01-07,100.38,8545.3851,20.2035,4.8289
2014-01-08,100.48,8553.8982,20.2237,4.8337
2014-01-09,100.62,8565.8164,20.2518,4.8404
2014-01-10,101.46,8637.3259,20.4209,4.8808
2014-01-13,100.51,8556.4521,20.2297,4.8351
2014-01-14,103.0,8768.4267,20.7309,4.9549
2014-01-15,103.95,8849.3005,20.9221,5.0006
2014-01-16,105.25,8959.97,21.1837,5.0631
2014-01-17,104.4,8887.6091,21.0127,5.0223
2014-01-21,105.05,8942.9439,21.1435,5.0535
2014-01-22,104.96,8935.2821,21.1254,5.0492
2014-01-23,104.58,8902.9326,21.0489,5.0309
2014-01-24,103.02,8770.1293,20.7349,4.9559
2014-01-27,102.9,8759.9136,20.7107,4.9501
2014-01-28,110.41,9399.2426,22.2223,5.3114
2014-01-29,108.81,9263.034,21.9003,5.2344
2014-01-30,109.81,9348.1644,22.1015,5.2825
2014-01-31,108.27,9217.0636,21.7916,5.2084
2014-02-03,105.11,8948.0517,21.1556,5.0564
2014-02-04,105.22,8957.416,21.1777,5.0617
2014-02-05,105.31,8965.0778,21.1958,5.066
2014-02-06,106.9,9100.435,21.5158,5.1425
2014-02-07,108.72,9255.3723,21.8821,5.2301
2014-02-10,109.19,9295.3836,21.9767,5.2527
2014-02-11,109.85,9351.5696,22.1096,5.2844
2014-02-12,110.79,9431.5921,22.2988,5.3297
2014-02-13,112.05,9538.8564,22.5524,5.3903
2014-02-14,112.48,9575.4624,22.6389,5.411
2014-02-18,111.89,9525.2355,22.5202,5.3826
2014-02-19,112.12,9544.8155,22.5665,5.3936
2014-02-20,114.94,9784.8831,23.134,5.5293
2014-02-21,113.31,9646.1206,22.806,5.4509
2014-02-24,113.59,9669.9571,22.8623,5.4643
2014-02-25,112.59,9584.8268,22.6611,5.4162
2014-02-26,111.87,9523.5329,22.5161,5.3816
2014-02-27,112.21,9557.6112,22.5846,5.398
2014-02-28,111.4,9488.6186,22.4215,5.359
2014-03-03,110.54,9415.3671,22.2485,5.3176
2014-03-04,112.59,9589.9781,22.6611,5.4162
2014-03-05,112.89,9615.531,22.7214,5.4307
2014-03-06,112.78,9606.1616,22.6993,5.4254
2014-03-07,112.72,9601.051,22.6872,5.4225
2014-03-10,113.07,9630.8627,22.7577,5.4393
2014-03-11,113.36,9655.5638,22.816,5.4533
2014-03-12,113.24,9645.3426,22.7919,5.4475
2014-03-13,112.7,9599.3475,22.6832,5.4215
2014-03-14,113.04,9628.3074,22.7516,5.4379
2014-03-17,113.65,9680.2648,22.8744,5.4672
2014-03-18,114.23,9729.667,22.9911,5.4951
2014-03-19,112.8,9607.8651,22.7033,5.4263
2014-03-20,112.49,9581.4605,22.6409,5.4114
2014-03-21,110.74,9432.4023,22.2887,5.3272
2014-03-24,108.48,9239.9043,21.8338,5.2185
2014-03-25,108.62,9251.829,21.862,5.2253
2014-03-26,107.36,9144.5071,21.6084,5.1646
2014-03-27,107.81,9182.8363,21.699,5.1863
2014-03-28,107.68,9171.7635,22.3869,5.0176
2014-03-31,108.41,9233.942,22.5387,5.0516
2014-04-01,108.88,9273.9748,22.6364,5.0735
2014-04-02,110.65,9424.7365,23.0044,5.156
2014-04-03,110.85,9441.7717,23.046,5.1653
2014-04-04,111.03,9411.3096,23.0834,5.1737
2014-04-07,109.41,9273.9925,22.7466,5.0982
2014-04-08,111.45,9446.9104,23.1707,5.1933
2014-04-09,114.29,9687.6392,23.7612,5.3256
2014-04-10,109.92,9317.222,22.8526,5.122
2014-04-11,108.0,9154.4757,22.4535,5.0325
2014-04-14,109.14,9251.1063,22.6905,5.0856
2014-04-15,109.65,9294.3358,22.7965,5.1094
2014-04-16,109.82,9308.7456,22.8318,5.1173
2014-04-17,111.15,9421.4813,23.1084,5.1793
2014-04-21,111.09,9416.3955,23.0959,5.1765
2014-04-22,111.6,9459.6249,23.2019,5.2003
2014-04-23,110.4,9357.9085,22.9524,5.1444
2014-04-24,110.29,9348.5845,22.9296,5.1392
2014-04-25,108.7,9213.8103,22.599,5.0651
2014-04-28,108.24,9174.819,22.5034,5.0437
2014-04-29,99.03,8394.1457,20.5886,4.6145
2014-04-30,98.54,8352.6115,20.4867,4.5917
2014-05-01,100.53,8521.2912,20.9004,4.6844
2014-05-02,99.9,8470.2772,20.7695,4.6551
2014-05-05,101.26,8585.5883,21.0522,4.7185
2014-05-06,101.75,8627.1342,21.1541,4.7413
2014-05-07,101.77,8628.8299,21.1582,4.7422
2014-05-08,101.93,8642.3959,21.1915,4.7497
2014-05-09,103.46,8772.1209,21.5096,4.821
2014-05-12,105.12,8912.8683,21.8547,4.8983
2014-05-13,104.85,8889.9756,21.7986,4.8857
2014-05-14,102.14,8660.2013,21.2352,4.7595
2014-05-15,101.59,8613.5682,21.1208,4.7338
2014-05-16,103.01,8733.9665,21.416,4.8
2014-05-19,102.06,8653.4183,21.2185,4.7557
2014-05-20,100.98,8561.8478,20.994,4.7054
2014-05-21,101.0,8563.5435,20.9981,4.7063
2014-05-22,100.36,8509.2795,20.8651,4.6765
2014-05-23,100.54,8524.5412,20.9025,4.6849
2014-05-27,100.2,8495.7135,20.8318,4.6691
2014-05-28,100.15,8491.4741,20.8214,4.6667
2014-05-29,100.46,8517.7582,20.8859,4.6812
2014-05-30,100.16,8492.322,20.8235,4.6672
2014-06-02,100.73,8540.6509,20.942,4.6938
2014-06-03,102.37,8679.7025,21.283,4.7702
2014-06-04,102.57,8696.66,21.3246,4.7795
2014-06-05,104.57,8866.2351,21.7404,4.8727
2014-06-06,105.54,8948.479,21.942,4.9179
2014-06-09,105.5,8945.0875,21.9337,4.916
2014-06-10,105.14,8914.564,21.8589,4.8993
2014-06-11,105.08,8909.4768,21.8464,4.8965
2014-06-12,104.43,8854.3648,21.7112,4.8662
2014-06-13,104.89,8893.3671,21.8069,4.8876
2014-06-16,104.66,8873.866,21.7591,4.8769
2014-06-17,105.3,8928.13,21.8921,4.9067
2014-06-18,107.2,9089.2264,22.2871,4.9952
2014-06-19,105.66,8958.6535,21.967,4.9235
2014-06-20,106.07,8993.4164,22.0522,4.9426
2014-06-23,105.77,8967.9802,21.9898,4.9286
2014-06-24,104.99,8901.8459,21.8277,4.8923
2014-06-25,105.55,8949.3269,21.9441,4.9184
2014-06-26,104.92,8895.9107,21.8131,4.889
2014-06-27,105.36,8933.2173,21.3077,4.7974
2014-06-30,104.44,8855.2127,21.1216,4.7556
2014-07-01,104.94,8897.6065,21.2227,4.7783
2014-07-02,104.7,8877.2575,21.1742,4.7674
2014-07-03,105.82,8972.2195,21.4007,4.8184
2014-07-07,104.86,8890.8235,21.2065,4.7747
2014-07-08,103.61,8784.839,20.9538,4.7178
2014-07-09,103.53,8778.056,20.9376,4.7141
2014-07-10,102.19,8664.4407,20.6666,4.6531
2014-07-11,102.8,8716.1611,20.7899,4.6809
2014-07-14,103.29,8757.707,20.889,4.7032
2014-07-15,101.9,8639.8523,20.6079,4.6399
2014-07-16,101.5,8605.9373,20.527,4.6217
2014-07-17,99.25,8415.1653,20.072,4.5192
2014-07-18,101.52,8607.633,20.5311,4.6226
2014-07-21,101.3,8588.9798,20.4866,4.6126
2014-07-22,107.16,9085.8349,21.6717,4.8794
2014-07-23,104.79,8884.8884,21.1924,4.7715
2014-07-24,105.73,8964.5887,21.3825,4.8143
2014-07-25,105.96,8984.0898,21.429,4.8248
2014-07-28,105.37,8934.0651,21.3097,4.7979
2014-07-29,105.16,8916.2598,21.2672,4.7883
2014-07-30,105.76,8967.1323,21.3886,4.8157
2014-07-31,103.44,8770.4252,20.9194,4.71
2014-08-01,103.19,8664.259,20.8688,4.6986
2014-08-04,103.96,8728.9114,21.0245,4.7337
2014-08-05,103.84,8718.8357,21.0003,4.7282
2014-08-06,103.4,8681.8915,20.9113,4.7082
2014-08-07,102.73,8625.6355,20.7758,4.6777
2014-08-08,103.59,8697.8447,20.9497,4.7169
2014-08-11,103.57,8696.1654,20.9457,4.7159
2014-08-12,102.45,8602.1256,20.7192,4.6649
2014-08-13,103.12,8658.3815,20.8547,4.6955
2014-08-14,104.52,8775.9313,21.1378,4.7592
2014-08-15,103.44,8685.25,20.9194,4.71
2014-08-18,104.34,8760.8178,21.1014,4.751
2014-08-19,104.35,8761.6574,21.1034,4.7515
2014-08-20,103.32,8675.1743,20.8951,4.7046
2014-08-21,103.3,8673.4951,20.8911,4.7036
2014-08-22,102.92,8641.5887,20.8142,4.6863
2014-08-25,103.1,8656.7022,20.8506,4.6945
2014-08-26,103.61,8699.5239,20.9538,4.7178
2014-08-27,103.3,8673.4951,20.8911,4.7036
2014-08-28,103.36,8678.5329,20.9032,4.7064
2014-08-29,103.43,8684.4104,20.9174,4.7096
2014-09-02,103.88,8722.1943,21.0084,4.7301
2014-09-03,103.72,8708.76,20.976,4.7228
2014-09-04,103.52,8691.9672,20.9356,4.7137
2014-09-05,104.08,8738.9871,21.0488,4.7392
2014-09-08,103.1,8656.7022,20.8506,4.6945
2014-09-09,102.57,8612.2012,20.7434,4.6704
2014-09-10,103.17,8662.5797,20.8648,4.6977
2014-09-11,103.7,8707.0807,20.972,4.7219
2014-09-12,101.78,8545.8696,20.5837,4.6344
2014-09-15,101.23,8499.6893,20.4724,4.6094
2014-09-16,101.32,8507.2461,20.4906,4.6135
2014-09-17,101.57,8528.2371,20.5412,4.6249
2014-09-18,102.13,8575.257,20.6544,4.6504
2014-09-19,101.58,8529.0768,20.5432,4.6253
2014-09-22,101.53,8524.8785,20.5331,4.6231
2014-09-23,100.64,8450.1505,20.3531,4.5825
2014-09-24,101.45,8518.1614,20.5169,4.6194
2014-09-25,100.11,8405.6495,20.2459,4.5584
2014-09-26,100.14,8408.1684,19.5326,4.5259
2014-09-29,100.05,8400.6116,19.5151,4.5218
2014-09-30,99.12,8322.525,19.3337,4.4798
2014-10-01,98.42,8263.7501,19.1971,4.4481
2014-10-02,97.18,8159.6346,18.9553,4.3921
2014-10-03,97.74,8206.6545,19.0645,4.4174
2014-10-06,97.82,8213.3716,19.0801,4.421
2014-10-07,96.74,8122.6903,18.8694,4.3722
2014-10-08,99.05,8316.6475,19.32,4.4766
2014-10-09,97.9,8220.0887,19.0957,4.4246
2014-10-10,97.34,8173.0688,18.9865,4.3993
2014-10-13,95.76,8040.4055,18.6783,4.3279
2014-10-14,96.14,8072.3119,18.7524,4.3451
2014-10-15,95.08,7983.3099,18.5456,4.2972
2014-10-16,95.12,7986.6684,18.5535,4.299
2014-10-17,96.98,8142.8417,18.9162,4.3831
2014-10-20,97.54,8189.8617,19.0255,4.4084
2014-10-21,107.17,8998.4363,20.9038,4.8436
2014-10-22,104.46,8770.8935,20.3752,4.7211
2014-10-23,107.34,9012.7102,20.937,4.8513
2014-10-24,108.21,9085.759,21.1067,4.8906
2014-10-27,108.16,9081.5608,21.0969,4.8883
2014-10-28,110.0,9236.0548,21.4558,4.9715
2014-10-29,109.87,9225.1394,21.4305,4.9656
2014-10-30,110.6,9286.4332,21.5729,4.9986
2014-10-31,110.8,9227.0359,21.6119,5.0077
2014-11-03,111.68,9300.3192,21.7835,5.0474
2014-11-04,111.91,9319.4728,21.8284,5.0578
2014-11-05,111.79,9309.4796,21.805,5.0524
2014-11-06,112.88,9400.251,22.0176,5.1017
2014-11-07,111.05,9247.855,21.6606,5.019
2014-11-10,112.51,9369.4387,21.9454,5.0849
2014-11-11,112.33,9354.4489,21.9103,5.0768
2014-11-12,113.5,9451.8824,22.1385,5.1297
2014-11-13,113.72,9470.2032,22.1814,5.1396
2014-11-14,112.48,9366.9404,21.9396,5.0836
2014-11-17,112.45,9364.4421,21.9337,5.0822
2014-11-18,114.09,9501.0155,22.2536,5.1564
2014-11-19,114.35,9522.6674,22.3043,5.1681
2014-11-20,115.93,9654.2443,22.6125,5.2395
2014-11-21,115.84,9646.7494,22.595,5.2354
2014-11-24,116.47,9699.2136,22.7178,5.2639
2014-11-25,115.81,9644.2511,22.5891,5.2341
2014-11-26,115.87,9649.2477,22.6008,5.2368
2014-11-28,115.9,9651.746,22.6067,5.2382
2014-12-01,115.9,9651.746,22.6067,5.2382
2014-12-02,116.8,9726.6948,22.7822,5.2788
2014-12-03,116.98,9741.6846,22.8173,5.287
2014-12-04,116.49,9700.8791,22.7217,5.2648
2014-12-05,115.45,9614.2716,22.5189,5.2178
2014-12-08,115.35,9605.9439,22.4994,5.2133
2014-12-09,115.55,9622.5992,22.5384,5.2223
2014-12-10,112.44,9363.6093,21.9318,5.0818
2014-12-11,113.36,9440.2237,22.1112,5.1234
2014-12-12,111.56,9290.326,21.7601,5.042
2014-12-15,111.75,9306.1485,21.7972,5.0506
2014-12-16,111.24,9263.6775,21.6977,5.0275
2014-12-17,113.35,9439.3909,22.1093,5.1229
2014-12-18,114.26,9515.1725,22.2868,5.164
2014-12-19,115.09,9584.292,22.4487,5.2016
2014-12-22,115.49,9617.6026,22.5267,5.2196
2014-12-23,114.33,9521.0019,22.3004,5.1672
2014-12-24,114.54,9538.49,22.3414,5.1767
2014-12-26,114.35,9522.6674,22.3043,5.1681
2014-12-29,114.43,9529.3295,22.3199,5.1717
2014-12-30,113.77,9474.3671,22.1912,5.1419
2014-12-31,112.72,9386.9267,20.8295,4.9467
2015-01-02,113.88,9483.5275,21.0439,4.9976
2015-01-05,113.02,9411.9097,20.885,4.9599
2015-01-06,112.53,9371.1042,20.7944,4.9384
2015-01-07,115.93,9654.2443,21.4227,5.0876
2015-01-08,118.09,9834.1215,21.8219,5.1824
2015-01-09,116.52,9703.3774,21.5318,5.1135
2015-01-12,116.46,9698.3808,21.5207,5.1108
2015-01-13,116.02,9661.7392,21.4394,5.0915
2015-01-14,114.4,9526.8312,21.14,5.0204
2015-01-15,112.79,9392.7561,20.8425,4.9498
2015-01-16,113.46,9448.5513,20.9663,4.9792
2015-01-20,113.96,9490.1896,21.0587,5.0011
2015-01-21,114.27,9516.0053,21.116,5.0147
2015-01-22,115.91,9652.5788,21.419,5.0867
2015-01-23,114.45,9530.9951,21.1492,5.0226
2015-01-26,116.11,9669.2341,21.456,5.0955
2015-01-27,119.35,9939.0499,22.0547,5.2376
2015-01-28,118.95,9905.7393,21.9808,5.2201
2015-01-29,120.62,10044.8111,22.2894,5.2934
2015-01-30,119.05,9914.067,21.9993,5.2245
2015-02-02,119.06,9914.8997,22.0011,5.2249
2015-02-03,119.48,9949.8758,22.0787,5.2434
2015-02-04,119.13,9920.7291,22.0141,5.228
2015-02-05,120.1,10001.5073,22.1933,5.2706
2015-02-06,119.06,9914.8997,22.0011,5.2249
2015-02-09,117.74,9804.9747,21.7572,5.167
2015-02-10,118.68,9883.2547,21.9309,5.2082
2015-02-11,118.75,9889.084,21.9438,5.2113
2015-02-12,119.15,9922.3946,22.0177,5.2289
2015-02-13,119.86,9981.5209,22.149,5.26
2015-02-17,119.99,9992.3469,22.173,5.2657
2015-02-18,120.01,9994.0124,22.1767,5.2666
2015-02-19,119.49,9950.7086,22.0806,5.2438
2015-02-20,121.04,10079.7872,22.367,5.3118
2015-02-23,121.62,10128.0876,22.4742,5.3373
2015-02-24,120.56,10039.8145,22.2783,5.2907
2015-02-25,120.73,10053.9715,22.3097,5.2982
2015-02-26,120.93,10070.6268,22.3467,5.307
2015-02-27,120.38,9994.9602,22.245,5.2828
2015-03-02,121.36,10076.3281,22.4261,5.3259
2015-03-03,119.53,9924.3861,22.088,5.2455
2015-03-04,120.24,9983.3362,22.2192,5.2767
2015-03-05,121.89,10120.3331,22.5241,5.3491
2015-03-06,118.94,9875.3993,21.9789,5.2197
2015-03-09,119.17,9894.4958,22.0214,5.2297
2015-03-10,116.87,9703.5305,21.5964,5.1288
2015-03-11,119.76,9943.4826,22.1305,5.2556
2015-03-12,121.98,10127.8057,22.5407,5.3531
2015-03-13,120.95,10042.2864,22.3504,5.3079
2015-03-16,124.6,10345.3401,23.0249,5.468
2015-03-17,123.46,10250.6877,22.8142,5.418
2015-03-18,124.07,10301.3351,22.9269,5.4448
2015-03-19,123.61,10263.142,22.8419,5.4246
2015-03-20,124.82,10363.6064,23.0655,5.4777
2015-03-23,123.84,10282.2385,22.8844,5.4347
2015-03-24,123.14,10224.1186,22.7551,5.404
2015-03-25,121.54,10091.2732,22.4594,5.3338
2015-03-26,121.85,10117.012,22.5167,5.3474
2015-03-27,124.11,10304.6562,22.9343,5.4465
2015-03-30,124.94,10373.5698,23.0877,5.483
2015-03-31,124.32,10322.0922,22.9731,5.4558
2015-04-01,123.47,10208.1096,22.816,5.4185
2015-04-02,124.2,10268.4637,21.765,5.5157
2015-04-06,125.63,10386.6916,22.0156,5.5792
2015-04-07,124.94,10329.6446,21.8946,5.5485
2015-04-08,124.92,10327.9911,21.8911,5.5476
2015-04-09,125.43,10370.1563,21.9805,5.5703
2015-04-10,125.77,10398.2664,22.0401,5.5854
2015-04-13,124.75,10313.936,21.8613,5.5401
2015-04-14,124.56,10298.2274,21.828,5.5316
2015-04-15,124.58,10299.8809,21.8315,5.5325
2015-04-16,124.94,10329.6446,21.8946,5.5485
2015-04-17,124.41,10285.8259,21.8018,5.525
2015-04-20,124.02,10253.5819,21.7334,5.5077
2015-04-21,124.16,10265.1567,21.7579,5.5139
2015-04-22,124.08,10258.5425,21.7439,5.5103
2015-04-23,124.35,10280.8653,21.7912,5.5223
2015-04-24,123.54,10213.897,21.6493,5.4863
2015-04-27,122.0,10086.5747,21.3794,5.4179
2015-04-28,125.59,10383.3846,22.0085,5.5774
2015-04-29,125.45,10371.8098,21.984,5.5712
2015-04-30,125.19,10350.3138,21.9384,5.5596
2015-05-01,126.59,10466.0614,22.1838,5.6218
2015-05-04,127.02,10501.6124,22.2591,5.6409
2015-05-05,127.69,10557.0059,22.3765,5.6706
2015-05-06,127.39,10532.2029,22.324,5.6573
2015-05-07,128.06,10587.5964,22.4414,5.6871
2015-05-08,130.4,10783.1305,22.8515,5.791
2015-05-11,131.2,10849.2847,22.9916,5.8265
2015-05-12,130.82,10817.8614,22.9251,5.8096
2015-05-13,129.79,10732.6879,22.7446,5.7639
2015-05-14,130.01,10750.8803,22.7831,5.7737
2015-05-15,130.57,10797.1883,22.8812,5.7985
2015-05-18,131.49,10873.2656,23.0425,5.8394
2015-05-19,133.19,11013.8432,23.3404,5.9149
2015-05-20,134.76,11143.6707,23.6155,5.9846
2015-05-21,133.84,11067.5934,23.4543,5.9438
2015-05-22,133.29,11022.1124,23.3579,5.9193
2015-05-26,132.69,10972.4968,23.2528,5.8927
2015-05-27,134.72,11140.363,23.6085,5.9828
2015-05-28,134.57,11127.9591,23.5822,5.9762
2015-05-29,133.62,11049.401,23.4157,5.934
2015-06-01,133.82,11065.9396,23.4508,5.9429
2015-06-02,134.09,11088.2666,23.4981,5.9549
2015-06-03,134.67,11136.2284,23.5997,5.9806
2015-06-04,133.86,11069.2473,23.4578,5.9446
2015-06-05,133.4,11031.2086,23.3772,5.9242
2015-06-08,133.22,11016.324,23.3456,5.9162
2015-06-09,133.43,11033.6894,23.3824,5.9255
2015-06-10,134.82,11148.6323,23.626,5.9873
2015-06-11,134.64,11133.7476,23.5945,5.9793
2015-06-12,133.94,11075.8627,23.4718,5.9482
2015-06-15,132.99,10997.3046,23.3053,5.906
2015-06-16,134.23,11099.8436,23.5226,5.9611
2015-06-17,134.37,11111.4206,23.5472,5.9673
2015-06-18,136.5,11287.5561,23.9204,6.0619
2015-06-19,136.4,11279.2868,23.9029,6.0574
2015-06-22,136.36,11275.9791,23.8959,6.0557
2015-06-23,135.23,11182.5363,23.6979,6.0055
2015-06-24,134.22,11099.0167,23.5209,5.9606
2015-06-25,130.22,10768.2458,22.8199,5.783
2015-06-26,130.78,10814.5537,22.918,5.8079
2015-06-29,127.83,10570.6102,22.4011,5.6769
2015-06-30,128.38,10616.0912,22.4975,5.7013
2015-07-01,129.03,10669.8415,22.6114,5.7301
2015-07-02,129.37,10697.957,22.2727,5.5066
2015-07-06,129.61,10717.8032,22.314,5.5168
2015-07-07,129.8,10733.5149,22.3467,5.5249
2015-07-08,125.46,10374.6285,21.5995,5.3401
2015-07-09,125.41,10370.4938,21.5909,5.338
2015-07-10,128.53,10628.4951,22.128,5.4708
2015-07-13,129.71,10726.0725,22.3312,5.521
2015-07-14,131.7,10890.631,22.6738,5.6057
2015-07-15,130.41,10783.9574,22.4517,5.5508
2015-07-16,130.79,10815.3807,22.5171,5.567
2015-07-17,130.88,10822.823,22.5326,5.5708
2015-07-20,131.12,10842.6693,22.5739,5.5811
2015-07-21,130.63,10802.1498,22.4896,5.5602
2015-07-22,132.41,10949.3429,22.796,5.636
2015-07-23,131.57,10879.881,22.6514,5.6002
2015-07-24,130.73,10810.4191,22.5068,5.5645
2015-07-27,129.87,10739.3034,22.3587,5.5278
2015-07-28,130.58,10798.0152,22.481,5.5581
2015-07-29,133.38,11029.5548,22.963,5.6772
2015-07-30,132.59,10964.2275,22.827,5.6436
2015-07-31,133.49,11038.651,22.982,5.6819
2015-08-03,133.59,11046.9203,22.9992,5.6862
2015-08-04,134.55,11126.3053,23.1645,5.727
2015-08-05,135.14,11175.094,23.266,5.7522
2015-08-06,131.54,10877.4002,22.6463,5.5989
2015-08-07,131.94,10854.7507,22.7151,5.616
2015-08-10,133.9,11016.0006,23.0526,5.6994
2015-08-11,132.6,10909.0491,22.8287,5.644
2015-08-12,129.62,10663.8834,22.3157,5.5172
2015-08-13,128.62,10581.6131,22.1435,5.4746
2015-08-14,128.82,10598.0672,22.178,5.4832
2015-08-17,129.24,10632.6207,22.2503,5.501
2015-08-18,128.92,10606.2942,22.1952,5.4874
2015-08-19,128.76,10593.1309,22.1676,5.4806
2015-08-20,125.82,10351.2561,21.6615,5.3555
2015-08-21,122.76,10099.5088,21.1347,5.2252
2015-08-24,117.77,9688.9797,20.2756,5.0128
2015-08-25,116.83,9611.6456,20.1137,4.9728
2015-08-26,122.67,10092.1045,21.1192,5.2214
2015-08-27,125.71,10342.2064,21.6425,5.3508
2015-08-28,124.81,10268.163,21.4876,5.3125
2015-08-31,121.38,9985.9757,20.8971,5.1665
2015-09-01,118.36,9737.5192,20.3772,5.0379
2015-09-02,122.22,10055.0828,21.0417,5.2022
2015-09-03,122.67,10092.1045,21.1192,5.2214
2015-09-04,120.01,9873.2653,20.6612,5.1082
2015-09-08,123.55,10164.5024,21.2707,5.2588
2015-09-09,121.68,10010.6568,20.9487,5.1792
2015-09-10,122.9,10111.0267,21.1588,5.2312
2015-09-11,124.59,10250.0636,21.4497,5.3031
2015-09-14,124.16,10214.6873,21.3757,5.2848
2015-09-15,124.68,10257.4679,21.4652,5.3069
2015-09-16,124.5,10242.6592,21.4342,5.2993
2015-09-17,124.07,10207.283,21.3602,5.281
2015-09-18,122.16,10050.1466,21.0314,5.1997
2015-09-21,121.19,9970.3443,20.8644,5.1584
2015-09-22,119.82,9857.634,20.6285,5.1001
2015-09-23,119.93,9866.6837,20.6474,5.1048
2015-09-24,118.72,9767.1366,20.4391,5.0533
2015-09-25,117.16,9638.7948,20.1706,4.9869
2015-09-28,115.23,9480.013,19.8383,4.9047
2015-09-29,117.2,9642.0856,20.1774,4.9886
2015-09-30,118.21,9725.1787,20.3513,5.0315
2015-10-01,117.36,9655.2489,20.205,4.9954
2015-10-02,119.31,9815.6761,20.2704,4.9489
2015-10-05,119.74,9851.0523,20.3435,4.9667
2015-10-06,117.38,9656.8943,19.9425,4.8688
2015-10-07,119.56,9836.2437,20.3129,4.9592
2015-10-08,119.76,9852.6977,20.3469,4.9675
2015-10-09,120.92,9948.1314,20.544,5.0157
2015-10-12,120.59,9920.9821,20.4879,5.002
2015-10-13,119.06,9795.1085,20.228,4.9385
2015-10-14,118.01,9708.7246,20.0496,4.895
2015-10-15,120.6,9921.8048,20.4896,5.0024
2015-10-16,120.99,9953.8903,20.5559,5.0186
2015-10-19,121.59,10003.2525,20.6578,5.0434
2015-10-20,122.01,10037.806,20.7292,5.0609
2015-10-21,121.34,9982.6849,20.6153,5.0331
2015-10-22,123.18,10134.0624,20.9279,5.1094
2015-10-23,124.27,10223.737,21.1131,5.1546
2015-10-26,124.16,10214.6873,21.0944,5.15
2015-10-27,127.0,10448.3351,21.5769,5.2679
2015-10-28,129.19,10628.5072,21.949,5.3587
2015-10-29,128.56,10576.6769,21.842,5.3326
2015-10-30,127.8,10514.1514,21.7129,5.301
2015-11-02,132.23,10878.6091,22.4655,5.4848
2015-11-03,132.83,10927.9713,22.5674,5.5097
2015-11-04,132.24,10879.4318,22.4672,5.4852
2015-11-05,131.74,10838.2966,22.3823,5.4645
2015-11-06,132.48,10818.8186,22.508,5.4952
2015-11-09,132.16,10792.6862,22.4536,5.4819
2015-11-10,132.3,10804.1191,22.4774,5.4877
2015-11-11,131.67,10752.6709,22.3704,5.4616
2015-11-12,129.45,10571.3773,21.9932,5.3695
2015-11-13,128.69,10509.3129,21.8641,5.3379
2015-11-16,130.52,10658.7576,22.175,5.4139
2015-11-17,131.77,10760.8373,22.3874,5.4657
2015-11-18,131.86,10768.1871,22.4026,5.4694
2015-11-19,131.55,10742.8713,22.35,5.4566
2015-11-20,133.17,10875.1666,22.6252,5.5238
2015-11-23,133.73,10920.8983,22.7203,5.547
2015-11-24,132.83,10847.4009,22.5674,5.5097
2015-11-25,133.26,10882.5164,22.6405,5.5275
2015-11-27,134.1,10951.1139,22.7832,5.5624
2015-11-30,132.82,10846.5843,22.5657,5.5093
2015-12-01,133.38,10892.316,22.6609,5.5325
2015-12-02,130.79,10680.8068,22.2209,5.4251
2015-12-03,127.56,10417.0328,21.6721,5.2911
2015-12-04,131.0,10697.9562,22.2565,5.4338
2015-12-07,130.81,10682.4401,22.2242,5.4259
2015-12-08,130.16,10629.3586,22.1138,5.3989
2015-12-09,128.93,10528.9122,21.9048,5.3479
2015-12-10,130.25,10636.7084,22.1291,5.4027
2015-12-11,129.49,10574.6439,22.0,5.3711
2015-12-14,129.68,10590.16,22.0323,5.379
2015-12-15,131.61,10747.7711,22.3602,5.4591
2015-12-16,133.73,10920.8983,22.7203,5.547
2015-12-17,131.3,10722.4553,22.3075,5.4462
2015-12-18,129.52,10577.0938,22.0051,5.3724
2015-12-21,130.61,10666.1073,22.1903,5.4176
2015-12-22,132.84,10848.2176,22.5691,5.5101
2015-12-23,133.92,10936.4145,22.7526,5.5549
2015-12-24,133.94,10938.0477,22.756,5.5557
2015-12-28,134.0,10942.9476,22.7662,5.5582
2015-12-29,136.17,11120.158,23.1349,5.6482
2015-12-30,135.64,11076.8762,23.0449,5.6262
2015-12-31,134.58,10990.3126,23.0037,5.3255
2016-01-04,130.35,10644.8747,22.2807,5.1582
2016-01-05,129.81,10600.7763,22.1884,5.1368
2016-01-06,129.71,10592.6099,22.1713,5.1328
2016-01-07,128.82,10519.9291,22.0192,5.0976
2016-01-08,126.72,10348.4352,21.6602,5.0145
2016-01-11,126.08,10296.1704,21.5508,4.9892
2016-01-12,126.82,10356.6016,21.6773,5.0185
2016-01-13,123.92,10119.7766,21.1816,4.9037
2016-01-14,127.03,10373.751,21.7132,5.0268
2016-01-15,126.24,10309.2366,21.5782,4.9955
2016-01-19,125.85,10277.3877,21.5115,4.9801
2016-01-20,125.02,10209.6068,21.3697,4.9472
2016-01-21,124.56,10172.0414,21.291,4.929
2016-01-22,127.21,10388.4505,21.744,5.0339
2016-01-25,127.62,10421.9326,21.8141,5.0501
2016-01-26,122.55,10007.8972,20.9475,4.8495
2016-01-27,121.25,9901.7343,20.7252,4.7981
2016-01-28,117.45,9591.4119,20.0757,4.6477
2016-01-29,121.21,9898.4677,20.7184,4.7965
