Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,50.73,57154.9372,12.3207,3.2133
2014-01-03,51.1,57571.7975,12.4105,3.2367
2014-01-06,51.53,58056.2569,12.515,3.264
2014-01-07,51.19,57673.196,12.4324,3.2424
2014-01-08,51.11,57583.064,12.4129,3.2374
2014-01-09,51.68,58225.2543,12.5514,3.2735
2014-01-10,51.93,58506.9168,12.6121,3.2893
2014-01-13,52.07,58664.6477,12.6461,3.2982
2014-01-14,52.44,59081.5081,12.736,3.3216
2014-01-15,53.41,60174.3582,12.9715,3.3831
2014-01-16,55.3,62303.7261,13.4306,3.5028
2014-01-17,55.16,62145.9951,13.3966,3.4939
2014-01-21,55.59,62630.4545,13.501,3.5211
2014-01-22,55.6,62641.721,13.5034,3.5218
2014-01-23,55.15,62134.7286,13.3941,3.4933
2014-01-24,54.12,60974.2795,13.144,3.428
2014-01-27,54.13,60985.546,13.1464,3.4287
2014-01-28,54.23,61098.211,13.1707,3.435
2014-01-29,53.91,60737.6831,13.093,3.4147
2014-01-30,53.27,60016.6273,12.9375,3.3742
2014-01-31,54.01,60850.348,13.1173,3.4211
2014-02-03,52.66,59329.371,12.7894,3.3356
2014-02-04,53.1,59825.0969,12.8963,3.3634
2014-02-05,52.72,59396.97,12.804,3.3394
2014-02-06,52.72,59396.97,12.804,3.3394
2014-02-07,53.21,59949.0283,12.923,3.3704
2014-02-10,53.97,60805.2821,13.1075,3.4185
2014-02-11,54.51,61413.6729,13.2387,3.4527
2014-02-12,53.32,60072.9598,12.9497,3.3774
2014-02-13,53.48,60253.2237,12.9885,3.3875
2014-02-14,54.2,61064.4115,13.1634,3.4331
2014-02-18,55.25,62247.3936,13.4184,3.4996
2014-02-19,58.09,65044.136,14.1082,3.6795
2014-02-20,58.05,64999.3475,14.0984,3.677
2014-02-21,57.96,64898.5733,14.0766,3.6713
2014-02-24,58.03,64976.9532,14.0936,3.6757
2014-02-25,58.48,65480.8241,14.2029,3.7042
2014-02-26,58.66,65682.3725,14.2466,3.7156
2014-02-27,59.54,66667.72,14.4603,3.7713
2014-02-28,59.61,66746.1,14.4773,3.7758
2014-03-03,59.03,66096.6663,14.3365,3.739
2014-03-04,59.85,67014.8311,14.5356,3.791
2014-03-05,59.43,66544.5516,14.4336,3.7644
2014-03-06,58.72,65749.5553,14.2612,3.7194
2014-03-07,58.59,65603.9926,14.2296,3.7112
2014-03-10,58.9,65951.1036,14.3049,3.7308
2014-03-11,58.43,65424.8385,14.1907,3.701
2014-03-12,59.2,66287.0176,14.3777,3.7498
2014-03-13,58.34,65324.0643,14.1689,3.6953
2014-03-14,58.87,65917.5122,14.2976,3.7289
2014-03-17,58.87,65917.5122,14.2976,3.7289
2014-03-18,59.4,66510.9602,14.4263,3.7625
2014-03-19,59.05,66119.0606,14.3413,3.7403
2014-03-20,58.57,65581.5983,14.2247,3.7099
2014-03-21,57.78,64697.0249,14.0329,3.6599
2014-03-24,57.4,64274.0704,13.9406,3.6358
2014-03-25,57.21,64061.3165,13.8944,3.6238
2014-03-26,57.48,64363.651,13.96,3.6409
2014-03-27,57.53,64419.6389,13.9722,3.644
2014-03-28,57.61,64509.2194,13.9916,3.6491
2014-03-31,58.86,65908.9161,16.1942,3.5931
2014-04-01,58.82,65864.1258,16.1832,3.5907
2014-04-02,59.15,66233.6457,16.274,3.6108
2014-04-03,58.97,66032.0894,16.2245,3.5998
2014-04-04,59.01,66076.8797,16.2355,3.6023
2014-04-07,58.62,65640.1743,16.1282,3.5785
2014-04-08,58.58,65595.3841,16.1172,3.576
2014-04-09,60.43,67666.9351,16.6262,3.689
2014-04-10,58.66,65684.9646,16.1392,3.5809
2014-04-11,58.45,65449.8156,16.0814,3.5681
2014-04-14,58.95,66009.6943,16.219,3.5986
2014-04-15,59.42,66535.9802,16.3483,3.6273
2014-04-16,59.96,67140.6492,16.4968,3.6603
2014-04-17,60.43,67666.9351,16.6262,3.689
2014-04-21,60.86,68148.4308,16.7445,3.7152
2014-04-22,60.03,67219.0322,16.5161,3.6645
2014-04-23,59.56,66692.7462,16.3868,3.6358
2014-04-24,58.68,65707.3598,16.1447,3.5821
2014-04-25,58.5,65505.8035,16.0952,3.5711
2014-04-28,58.97,66014.0284,16.2245,3.5998
2014-04-29,59.62,66741.6716,16.4033,3.6395
2014-04-30,59.1,66159.557,16.2602,3.6078
2014-05-01,59.52,66629.7265,16.3758,3.6334
2014-05-02,59.08,66137.168,16.2547,3.6065
2014-05-05,58.88,65913.2778,16.1997,3.5943
2014-05-06,58.56,65555.0535,16.1117,3.5748
2014-05-07,59.15,66215.5296,16.274,3.6108
2014-05-08,59.5,66607.3375,16.3703,3.6322
2014-05-09,59.36,66450.6143,16.3318,3.6236
2014-05-12,59.42,66517.7814,16.3483,3.6273
2014-05-13,60.04,67211.841,16.5189,3.6651
2014-05-14,60.1,67279.0081,16.5354,3.6688
2014-05-15,58.21,65163.2456,16.0154,3.5534
2014-05-16,58.34,65308.7742,16.0511,3.5614
2014-05-19,58.65,65655.8041,16.1364,3.5803
2014-05-20,58.66,65666.9986,16.1392,3.5809
2014-05-21,59.07,66125.9735,16.252,3.6059
2014-05-22,59.72,66853.6167,16.4308,3.6456
2014-05-23,59.8,66943.1728,16.4528,3.6505
2014-05-27,59.73,66864.8112,16.4336,3.6462
2014-05-28,59.7,66831.2277,16.4253,3.6444
2014-05-29,59.47,66573.7539,16.362,3.6304
2014-05-30,59.86,67010.3398,16.4693,3.6542
2014-06-02,59.49,66596.143,16.3675,3.6316
2014-06-03,59.35,66439.4198,16.329,3.623
2014-06-04,59.22,66293.8912,16.2932,3.6151
2014-06-05,59.58,66696.8935,16.3923,3.6371
2014-06-06,59.63,66752.8661,16.406,3.6401
2014-06-09,59.74,66876.0057,16.4363,3.6468
2014-06-10,59.75,66887.2002,16.4391,3.6474
2014-06-11,59.47,66573.7539,16.362,3.6304
2014-06-12,58.88,65913.2778,16.1997,3.5943
2014-06-13,58.9,65935.6668,16.2052,3.5956
2014-06-16,58.83,65857.3053,16.1859,3.5913
2014-06-17,59.25,66327.4747,16.3015,3.6169
2014-06-18,59.99,67155.8685,16.5051,3.6621
2014-06-19,59.85,66999.1453,16.4666,3.6535
2014-06-20,62.03,69439.5486,17.0664,3.7866
2014-06-23,62.07,69484.3267,17.0774,3.7891
2014-06-24,61.89,69282.8255,17.0278,3.7781
2014-06-25,63.0,70525.4161,17.3332,3.8458
2014-06-26,63.04,70570.1942,17.3442,3.8483
2014-06-27,63.1,70637.3612,17.3608,3.8519
2014-06-30,62.17,69596.2718,19.8103,3.8626
2014-07-01,62.5,69965.6906,19.9154,3.8831
2014-07-02,62.7,70189.5808,19.9792,3.8955
2014-07-03,63.06,70592.5832,20.0939,3.9179
2014-07-07,62.61,70088.8302,19.9505,3.8899
2014-07-08,62.46,69920.9126,19.9027,3.8806
2014-07-09,62.62,70100.0247,19.9537,3.8905
2014-07-10,62.53,69999.2741,19.925,3.8849
2014-07-11,62.84,70346.304,20.0238,3.9042
2014-07-14,63.01,70536.6106,20.0779,3.9147
2014-07-15,62.86,70368.693,20.0301,3.9054
2014-07-16,62.81,70312.7204,20.0142,3.9023
2014-07-17,62.26,69697.0224,19.8389,3.8681
2014-07-18,63.47,71051.5581,20.2245,3.9433
2014-07-21,63.64,71241.8648,20.2787,3.9539
2014-07-22,63.72,71331.4209,20.3042,3.9589
2014-07-23,64.25,71924.7299,20.4731,3.9918
2014-07-24,64.37,72059.0641,20.5113,3.9992
2014-07-25,63.78,71398.588,20.3233,3.9626
2014-07-28,63.39,70826.1763,20.199,3.9384
2014-07-29,62.77,70133.4451,20.0015,3.8998
2014-07-30,62.62,69965.8489,19.9537,3.8905
2014-07-31,61.06,68222.8478,19.4566,3.7936
2014-08-01,60.68,67798.2707,19.3355,3.77
2014-08-04,61.63,68859.7136,19.6382,3.829
2014-08-05,60.87,68010.5592,19.396,3.7818
2014-08-06,61.11,68278.7132,19.4725,3.7967
2014-08-07,60.35,67429.5589,19.2303,3.7495
2014-08-08,60.98,68133.4632,19.4311,3.7886
2014-08-11,61.08,68245.194,19.4629,3.7948
2014-08-12,61.37,68569.2134,19.5554,3.8129
2014-08-13,60.59,67697.7129,19.3068,3.7644
2014-08-14,61.19,68368.0979,19.498,3.8017
2014-08-15,60.84,67977.04,19.3865,3.7799
2014-08-18,61.35,68546.8672,19.549,3.8116
2014-08-19,62.16,69451.887,19.8071,3.8619
2014-08-20,62.01,69284.2908,19.7593,3.8526
2014-08-21,62.03,69306.6369,19.7657,3.8539
2014-08-22,62.32,69630.6563,19.8581,3.8719
2014-08-25,62.73,70088.7528,19.9887,3.8973
2014-08-26,62.81,70178.1374,20.0142,3.9023
2014-08-27,63.0,70390.426,20.0747,3.9141
2014-08-28,63.11,70513.3299,20.1098,3.921
2014-08-29,63.56,71016.1187,20.2532,3.9489
2014-09-02,63.68,71150.1957,20.2914,3.9564
2014-09-03,64.15,71675.3306,20.4412,3.9856
2014-09-04,64.22,71753.5422,20.4635,3.9899
2014-09-05,64.72,72312.1964,20.6228,4.021
2014-09-08,65.0,72625.0427,20.712,4.0384
2014-09-09,64.44,71999.35,20.5336,4.0036
2014-09-10,64.78,72379.2349,20.6419,4.0247
2014-09-11,65.18,72826.1582,20.7694,4.0496
2014-09-12,65.27,72926.716,20.7981,4.0552
2014-09-15,65.19,72837.3313,20.7726,4.0502
2014-09-16,65.8,73518.8894,20.967,4.0881
2014-09-17,65.91,73641.7933,21.002,4.0949
2014-09-18,66.59,74401.563,21.2187,4.1372
2014-09-19,66.53,74334.5245,21.1996,4.1334
2014-09-22,66.08,73831.7357,21.0562,4.1055
2014-09-23,65.95,73686.4857,21.0148,4.0974
2014-09-24,66.19,73954.6397,21.0912,4.1123
2014-09-25,65.58,73273.0816,20.8969,4.0744
2014-09-26,65.48,73161.3507,20.865,4.0682
2014-09-29,65.34,73004.9276,20.8204,4.0595
2014-09-30,64.85,72457.4465,24.6473,4.0865
2014-10-01,65.08,72714.4274,24.7347,4.101
2014-10-02,64.83,72435.1003,24.6397,4.0853
2014-10-03,65.67,73373.6393,24.9589,4.1382
2014-10-06,65.62,73317.7739,24.9399,4.135
2014-10-07,64.22,71753.5422,24.4078,4.0468
2014-10-08,65.24,72893.1967,24.7955,4.1111
2014-10-09,64.3,71842.9269,24.4382,4.0519
2014-10-10,64.15,71675.3306,24.3812,4.0424
2014-10-13,63.28,70703.2724,24.0506,3.9876
2014-10-14,63.14,70546.8492,23.9974,3.9788
2014-10-15,62.87,70245.1759,23.8947,3.9617
2014-10-16,61.9,69161.3868,23.5261,3.9006
2014-10-17,62.58,69921.1565,23.7845,3.9435
2014-10-20,63.1,70502.1569,23.9822,3.9762
2014-10-21,64.68,72267.5041,24.5827,4.0758
2014-10-22,64.68,72267.5041,24.5827,4.0758
2014-10-23,64.35,71898.7923,24.4572,4.055
2014-10-24,66.05,73798.2165,25.1033,4.1621
2014-10-27,66.2,73965.8127,25.1604,4.1716
2014-10-28,64.83,72435.1003,24.6397,4.0853
2014-10-29,65.49,72918.5182,24.8905,4.1268
2014-10-30,66.8,74377.1113,25.3884,4.2094
2014-10-31,66.33,73853.7993,25.2098,4.1798
2014-11-03,66.54,74087.6195,25.2896,4.193
2014-11-04,67.17,74789.0803,25.529,4.2327
2014-11-05,66.99,74588.6629,25.4606,4.2214
2014-11-06,66.96,74555.26,25.4492,4.2195
2014-11-07,66.6,74154.4253,25.3124,4.1968
2014-11-10,68.35,76102.9275,25.9775,4.3071
2014-11-11,67.85,75546.2126,25.7875,4.2756
2014-11-12,67.4,75045.1692,25.6164,4.2472
2014-11-13,67.68,75356.9295,25.7229,4.2649
2014-11-14,67.33,74967.2291,25.5898,4.2428
2014-11-17,67.29,74922.6919,25.5746,4.2403
2014-11-18,67.78,75468.2725,25.7609,4.2712
2014-11-19,67.21,74833.6175,25.5442,4.2352
2014-11-20,66.8,74377.1113,25.3884,4.2094
2014-11-21,67.36,75000.632,25.6012,4.2447
2014-11-24,66.93,74521.8572,25.4378,4.2176
2014-11-25,66.85,74432.7828,25.4074,4.2125
2014-11-26,67.32,74956.0948,25.586,4.2422
2014-11-28,68.12,75846.8386,25.8901,4.2926
2014-12-01,68.51,76281.0763,26.0383,4.3172
2014-12-02,70.38,78363.19,26.749,4.435
2014-12-03,71.13,79198.2624,27.0341,4.4823
2014-12-04,72.38,80590.0496,27.5092,4.561
2014-12-05,71.85,79999.9318,27.3077,4.5276
2014-12-08,72.83,81091.093,27.6802,4.5894
2014-12-09,72.21,80400.7665,27.4446,4.5503
2014-12-10,71.05,79109.188,27.0037,4.4772
2014-12-11,71.61,79732.7087,27.2165,4.5125
2014-12-12,69.55,77439.0433,26.4336,4.3827
2014-12-15,69.67,77572.6548,26.4792,4.3903
2014-12-16,69.26,77116.1486,26.3234,4.3644
2014-12-17,70.28,78251.847,26.711,4.4287
2014-12-18,72.45,80667.9897,27.5358,4.5654
2014-12-19,72.4,80612.3182,27.5168,4.5623
2014-12-22,71.42,79521.157,27.1443,4.5005
2014-12-23,69.74,77650.5949,26.5058,4.3947
2014-12-24,70.16,78118.2354,26.6654,4.4211
2014-12-26,70.39,78374.3243,26.7528,4.4356
2014-12-29,70.1,78051.4297,26.6426,4.4173
2014-12-30,69.64,77539.2519,26.4678,4.3884
2014-12-31,68.99,76815.5226,27.0134,4.9841
2015-01-02,70.06,78006.8925,27.4324,5.0614
2015-01-05,69.37,77238.6259,27.1622,5.0116
2015-01-06,69.72,77628.3263,27.2992,5.0369
2015-01-07,69.23,77082.7457,27.1074,5.0015
2015-01-08,70.87,78908.7706,27.7495,5.12
2015-01-09,69.93,77862.1466,27.3815,5.052
2015-01-12,69.42,77294.2974,27.1818,5.0152
2015-01-13,69.38,77249.7602,27.1661,5.0123
2015-01-14,69.76,77672.8635,27.3149,5.0398
2015-01-15,69.74,77650.5949,27.3071,5.0383
2015-01-16,70.68,78697.2189,27.6751,5.1062
2015-01-20,72.03,80200.3492,28.2037,5.2038
2015-01-21,72.24,80434.1694,28.286,5.2189
2015-01-22,72.46,80679.124,28.3721,5.2348
2015-01-23,72.13,80311.6922,28.2429,5.211
2015-01-26,72.11,80289.4236,28.235,5.2095
2015-01-27,71.73,79866.3202,28.0863,5.1821
2015-01-28,70.97,79020.1136,27.7887,5.1272
2015-01-29,72.11,80289.4236,28.235,5.2095
2015-01-30,72.0,80166.9463,28.192,5.2016
2015-02-02,71.69,79821.783,28.0706,5.1792
2015-02-03,70.89,78931.0392,27.7574,5.1214
2015-02-04,70.22,78185.0412,27.495,5.073
2015-02-05,71.41,79510.0227,27.961,5.159
2015-02-06,70.36,78340.9214,27.5498,5.0831
2015-02-09,69.61,77505.849,27.2562,5.0289
2015-02-10,70.5,78496.8016,27.6046,5.0932
2015-02-11,69.95,77884.4152,27.3893,5.0535
2015-02-12,70.53,78530.2045,27.6164,5.0954
2015-02-13,70.56,78563.6074,27.6281,5.0976
2015-02-17,71.56,79677.0372,28.0197,5.1698
2015-02-18,71.01,79064.6508,27.8043,5.1301
2015-02-19,71.12,79021.7081,27.8474,5.138
2015-02-20,71.88,79866.147,28.145,5.1929
2015-02-23,71.09,78988.375,27.8357,5.1359
2015-02-24,70.9,78777.2652,27.7613,5.1221
2015-02-25,70.36,78177.2691,27.5498,5.0831
2015-02-26,70.03,77810.6048,27.4206,5.0593
2015-02-27,70.17,77966.1594,27.4754,5.0694
2015-03-02,71.12,79021.7081,27.8474,5.138
2015-03-03,70.37,78188.3802,27.5537,5.0838
2015-03-04,70.65,78499.4893,27.6634,5.1041
2015-03-05,70.59,78432.823,27.6399,5.0997
2015-03-06,68.41,76010.6166,26.7863,4.9422
2015-03-09,69.58,77310.6081,27.2444,5.0268
2015-03-10,68.78,76421.725,26.9312,4.969
2015-03-11,68.46,76066.1718,26.8059,4.9458
2015-03-12,69.56,77288.386,27.2366,5.0253
2015-03-13,69.89,77655.0503,27.3658,5.0492
2015-03-16,71.07,78966.1529,27.8278,5.1344
2015-03-17,70.84,78710.599,27.7378,5.1178
2015-03-18,73.54,81710.5795,28.795,5.3129
2015-03-19,74.22,82466.1301,29.0612,5.362
2015-03-20,76.12,84577.2275,29.8052,5.4992
2015-03-23,76.36,84836.3422,29.8992,5.5166
2015-03-24,75.56,83947.5382,29.5859,5.4588
2015-03-25,74.36,82614.3322,29.116,5.3721
2015-03-26,73.44,81592.2076,28.7558,5.3056
2015-03-27,73.58,81747.7483,28.8106,5.3157
2015-03-30,73.87,82069.9397,28.9242,5.3367
2015-03-31,72.65,80714.5136,27.2697,5.4037
2015-04-01,71.53,79470.188,26.8493,5.3204
2015-04-02,71.24,79147.9965,26.7405,5.2989
2015-04-06,71.31,79225.7669,26.7668,5.3041
2015-04-07,71.7,79659.0589,26.9132,5.3331
2015-04-08,72.15,80159.0111,27.0821,5.3665
2015-04-09,72.36,80392.3222,27.1609,5.3822
2015-04-10,73.92,82125.49,27.7464,5.4982
2015-04-13,73.52,81681.088,27.5963,5.4684
2015-04-14,73.46,81614.4277,27.5738,5.464
2015-04-15,73.71,81892.1789,27.6676,5.4826
2015-04-16,73.49,81647.7578,27.585,5.4662
2015-04-17,72.47,80514.5327,27.2022,5.3903
2015-04-20,72.41,80447.8724,27.1797,5.3859
2015-04-21,72.21,80225.6714,27.1046,5.371
2015-04-22,72.3,80325.6619,27.1384,5.3777
2015-04-23,72.4,80436.7624,27.1759,5.3851
2015-04-24,71.58,79525.7382,26.8681,5.3242
2015-04-27,70.89,78759.1448,26.6091,5.2728
2015-04-28,71.18,79081.3362,26.718,5.2944
2015-04-29,72.28,80303.4418,27.1309,5.3762
2015-04-30,71.87,79757.0921,26.977,5.3457
2015-05-01,73.12,81144.2684,27.4462,5.4387
2015-05-04,73.05,81066.5865,27.4199,5.4335
2015-05-05,71.91,79801.4817,26.992,5.3487
2015-05-06,72.05,79956.8455,27.0445,5.3591
2015-05-07,71.82,79701.605,26.9582,5.342
2015-05-08,73.26,81299.6322,27.4987,5.4491
2015-05-11,73.47,81532.6778,27.5775,5.4647
2015-05-12,72.44,80389.6445,27.1909,5.3881
2015-05-13,72.8,80789.1513,27.326,5.4149
2015-05-14,73.06,81077.684,27.4236,5.4342
2015-05-15,72.9,80900.1254,27.3636,5.4223
2015-05-18,72.94,80944.515,27.3786,5.4253
2015-05-19,73.45,81510.483,27.57,5.4632
2015-05-20,73.36,81410.6063,27.5362,5.4565
2015-05-21,74.27,82420.4707,27.8778,5.5242
2015-05-22,74.3,82453.7629,27.8891,5.5265
2015-05-26,74.31,82464.8603,27.8928,5.5272
2015-05-27,74.9,83119.6076,28.1143,5.5711
2015-05-28,76.41,84795.3166,28.6811,5.6834
2015-05-29,78.9,87558.5719,29.6157,5.8686
2015-06-01,79.0,87669.546,29.6533,5.8761
2015-06-02,77.95,86504.3179,29.2591,5.798
2015-06-03,77.83,86371.1489,29.2141,5.789
2015-06-04,77.68,86204.6878,29.1578,5.7779
2015-06-05,78.12,86692.9739,29.3229,5.8106
2015-06-08,78.52,87136.8703,29.4731,5.8404
2015-06-09,82.77,91853.2699,31.0684,6.1565
2015-06-10,83.18,92308.2638,31.2223,6.187
2015-06-11,86.59,96092.4809,32.5022,6.4406
2015-06-12,84.21,93451.2971,31.6089,6.2636
2015-06-15,84.08,93307.0308,31.5601,6.2539
2015-06-16,84.78,94083.8495,31.8228,6.306
2015-06-17,83.53,92696.6732,31.3536,6.213
2015-06-18,83.04,92152.9,31.1697,6.1766
2015-06-19,82.63,91697.9062,31.0158,6.1461
2015-06-22,82.92,92019.7311,31.1247,6.1676
2015-06-23,82.67,91742.2958,31.0308,6.149
2015-06-24,82.26,91287.302,30.8769,6.1185
2015-06-25,84.8,94106.0443,31.8303,6.3075
2015-06-26,85.85,95271.2725,32.2245,6.3856
2015-06-29,83.78,92974.1084,31.4475,6.2316
2015-06-30,83.49,92652.2835,29.8997,6.3088
2015-07-01,84.85,94161.5314,30.3867,6.4116
2015-07-02,86.14,95593.0974,30.8487,6.509
2015-07-06,86.35,95826.143,30.9239,6.5249
2015-07-07,88.73,98467.3268,31.7762,6.7048
2015-07-08,87.25,96824.91,31.2462,6.5929
2015-07-09,87.48,97080.1505,31.3286,6.6103
2015-07-10,88.29,97979.0407,31.6187,6.6715
2015-07-13,88.82,98567.2035,31.8085,6.7116
2015-07-14,88.76,98500.619,31.787,6.707
2015-07-15,86.38,95859.4353,30.9346,6.5272
2015-07-16,87.17,96736.1307,31.2176,6.5869
2015-07-17,87.37,96958.0789,31.2892,6.602
2015-07-20,87.87,97512.9495,31.4682,6.6398
2015-07-21,85.57,94960.545,30.6446,6.466
2015-07-22,86.38,95859.4353,30.9346,6.5272
2015-07-23,86.76,96281.1369,31.0707,6.5559
2015-07-24,84.72,94017.265,30.3402,6.4017
2015-07-27,84.15,93384.7126,30.136,6.3587
2015-07-28,85.68,95082.6165,30.684,6.4743
2015-07-29,85.09,94427.8693,30.4727,6.4297
2015-07-30,84.54,93716.0162,30.2757,6.3881
2015-07-31,84.51,93682.76,30.2649,6.3859
2015-08-03,84.14,93272.6,30.1324,6.3579
2015-08-04,84.05,93172.8313,30.1002,6.3511
2015-08-05,84.73,93926.6389,30.3437,6.4025
2015-08-06,82.7,91676.3016,29.6167,6.2491
2015-08-07,82.27,91199.6292,29.4628,6.2166
2015-08-10,83.51,92574.2194,29.9068,6.3103
2015-08-11,83.54,92607.4757,29.9176,6.3126
2015-08-12,83.38,92430.1092,29.8603,6.3005
2015-08-13,83.03,92042.12,29.7349,6.274
2015-08-14,83.91,93017.6356,30.0501,6.3405
2015-08-17,83.47,92529.8778,29.8925,6.3073
2015-08-18,83.39,92441.1946,29.8639,6.3012
2015-08-19,83.77,92862.44,29.9999,6.33
2015-08-20,87.33,96808.8443,31.2749,6.599
2015-08-21,84.53,93704.9308,30.2721,6.3874
2015-08-24,80.73,89492.4768,28.9112,6.1002
2015-08-25,78.26,86754.3817,28.0267,5.9136
2015-08-26,81.1,89902.6368,29.0438,6.1282
2015-08-27,83.74,92829.1838,29.9892,6.3277
2015-08-28,83.19,92219.4865,29.7922,6.2861
2015-08-31,82.35,91288.3124,29.4914,6.2227
2015-09-01,79.8,88461.5341,28.5782,6.03
2015-09-02,81.81,90689.7005,29.298,6.1819
2015-09-03,81.6,90456.907,29.2228,6.166
2015-09-04,80.32,89037.9752,28.7644,6.0693
2015-09-08,82.88,91875.8389,29.6812,6.2627
2015-09-09,81.09,89891.5514,29.0402,6.1275
2015-09-10,80.84,89614.4162,28.9506,6.1086
2015-09-11,81.8,90678.6151,29.2944,6.1811
2015-09-14,81.89,90778.3838,29.3267,6.1879
2015-09-15,82.96,91964.5221,29.7099,6.2688
2015-09-16,84.45,93616.2475,30.2435,6.3813
2015-09-17,89.98,99746.4767,32.2239,6.7992
2015-09-18,88.49,98094.7513,31.6903,6.6866
2015-09-21,87.59,97097.0648,31.368,6.6186
2015-09-22,87.8,97329.8583,31.4432,6.6345
2015-09-23,86.69,96099.3783,31.0457,6.5506
2015-09-24,85.35,94613.934,30.5658,6.4494
2015-09-25,84.06,93183.9167,30.1038,6.3519
2015-09-28,79.74,88395.0217,28.5567,6.0254
2015-09-29,80.28,88993.6335,28.7501,6.0662
2015-09-30,83.69,92773.7567,28.1765,6.0924
2015-10-01,85.18,94425.4821,28.6782,6.2009
2015-10-02,87.52,97019.467,29.466,6.3712
2015-10-05,86.57,95966.3535,29.1462,6.3021
2015-10-06,84.17,93305.8562,28.3381,6.1273
2015-10-07,83.99,93106.3189,28.2775,6.1142
2015-10-08,83.77,92862.44,28.2035,6.0982
2015-10-09,86.14,95489.681,29.0014,6.2708
2015-10-12,79.44,88062.4595,26.7457,5.783
2015-10-13,79.62,88261.9968,26.8063,5.7961
2015-10-14,79.25,87851.8368,26.6817,5.7692
2015-10-15,79.86,88528.0465,26.8871,5.8136
2015-10-16,81.51,90357.1384,27.4426,5.9337
2015-10-19,80.25,88960.3773,27.0184,5.842
2015-10-20,77.79,86233.3676,26.1901,5.6629
2015-10-21,77.01,85368.706,25.9275,5.6061
2015-10-22,76.98,85335.4498,25.9174,5.6039
2015-10-23,78.31,86809.8087,26.3652,5.7008
2015-10-26,79.11,87696.6411,26.6346,5.759
2015-10-27,80.91,89692.0141,27.2406,5.89
2015-10-28,83.07,92086.4616,27.9678,6.0473
2015-10-29,82.0,90900.3232,27.6076,5.9694
2015-10-30,81.57,90385.8032,27.4628,5.9381
2015-11-02,82.04,90906.5992,27.621,5.9723
2015-11-03,81.67,90496.6109,27.4965,5.9454
2015-11-04,81.05,89809.6034,27.2877,5.9002
2015-11-05,80.61,89322.0497,27.1396,5.8682
2015-11-06,80.46,89155.8383,27.0891,5.8573
2015-11-09,79.36,87936.9541,26.7187,5.7772
2015-11-10,80.06,88712.6076,26.9544,5.8282
2015-11-11,80.7,89421.7766,27.1699,5.8747
2015-11-12,79.86,88490.9923,26.8871,5.8136
2015-11-13,79.55,88147.4886,26.7827,5.791
2015-11-16,81.23,90009.0572,27.3483,5.9133
2015-11-17,81.3,90086.6225,27.3719,5.9184
2015-11-18,83.65,92690.6024,28.1631,6.0895
2015-11-19,83.72,92768.1678,28.1866,6.0946
2015-11-20,84.47,93599.2252,28.4392,6.1492
2015-11-23,84.74,93898.4058,28.5301,6.1688
2015-11-24,83.88,92945.46,28.2405,6.1062
2015-11-25,83.74,92790.3293,28.1934,6.096
2015-11-27,83.65,92690.6024,28.1631,6.0895
2015-11-30,82.04,90906.5992,27.621,5.9723
2015-12-01,86.5,95848.6205,29.1226,6.297
2015-12-02,84.56,93698.9521,28.4695,6.1557
2015-12-03,83.06,92036.8373,27.9644,6.0465
2015-12-04,86.62,95981.5897,29.163,6.3057
2015-12-07,86.38,95715.6514,29.0822,6.2882
2015-12-08,86.41,95748.8937,29.0923,6.2904
2015-12-09,83.86,92923.2985,28.2338,6.1048
2015-12-10,84.91,94086.7788,28.5873,6.1812
2015-12-11,83.29,92291.6949,28.0419,6.0633
2015-12-14,84.68,93831.9212,28.5099,6.1645
2015-12-15,85.52,94762.7055,28.7927,6.2256
2015-12-16,86.29,95615.9245,29.0519,6.2817
2015-12-17,86.22,95538.3591,29.0283,6.2766
2015-12-18,84.77,93931.6481,28.5402,6.171
2015-12-21,86.04,95338.9053,28.9677,6.2635
2015-12-22,85.91,95194.8554,28.924,6.254
2015-12-23,86.2,95516.1976,29.0216,6.2751
2015-12-24,85.85,95128.3708,28.9038,6.2496
2015-12-28,85.49,94729.4632,28.7826,6.2234
2015-12-29,86.25,95571.6014,29.0384,6.2788
2015-12-30,86.2,95516.1976,29.0216,6.2751
2015-12-31,84.26,93366.5291,28.2182,6.3913
2016-01-04,82.87,91826.3027,27.7527,6.2859
2016-01-05,84.11,93200.3176,28.168,6.3799
2016-01-06,83.58,92613.0371,27.9905,6.3397
2016-01-07,81.41,90208.511,27.2638,6.1751
2016-01-08,81.25,90031.2187,27.2102,6.163
2016-01-11,80.27,88945.3037,26.882,6.0887
2016-01-12,80.4,89089.3537,26.9255,6.0985
2016-01-13,79.3,87870.4695,26.5571,6.0151
2016-01-14,82.54,91460.6375,27.6422,6.2609
2016-01-15,81.24,90020.138,27.2068,6.1622
2016-01-19,83.23,92225.2103,27.8733,6.3132
2016-01-20,82.62,91549.2836,27.669,6.2669
2016-01-21,81.4,90197.4302,27.2604,6.1744
2016-01-22,82.48,91394.1529,27.6221,6.2563
2016-01-25,81.71,90540.9339,27.3642,6.1979
2016-01-26,81.96,90817.9531,27.448,6.2169
2016-01-27,81.76,90596.3378,27.381,6.2017
2016-01-28,76.81,85111.3589,25.7232,5.8262
2016-01-29,79.1,87648.8542,26.4902,5.9999
2016-02-01,78.4,86873.2006,26.2557,5.9468
