Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,37.8117,7480.3946,24.54,1.8879
2014-01-03,37.2649,7379.9083,24.1852,1.8606
2014-01-06,36.6319,7255.3509,23.7743,1.829
2014-01-07,36.7949,7285.5841,23.8801,1.8372
2014-01-08,37.0347,7327.9272,24.0358,1.8492
2014-01-09,36.8525,7295.6838,23.9175,1.8401
2014-01-10,37.5911,7436.6183,24.3968,1.8769
2014-01-13,36.6223,7250.5894,23.7681,1.8286
2014-01-14,36.6702,7252.7974,23.7992,1.831
2014-01-15,36.5263,7222.6961,23.7058,1.8238
2014-01-16,36.8621,7283.2285,23.9237,1.8405
2014-01-17,35.9508,7093.5259,23.3323,1.795
2014-01-21,35.7494,7057.0813,23.2016,1.785
2014-01-22,36.2674,7147.0397,23.5378,1.8108
2014-01-23,36.6415,7219.7312,23.7805,1.8295
2014-01-24,35.5192,6998.2135,23.0522,1.7735
2014-01-27,35.4041,6977.388,22.9775,1.7677
2014-01-28,36.9484,7657.3318,23.9797,1.8448
2014-01-29,37.4088,7751.6932,24.2786,1.8678
2014-01-30,37.2649,7723.2226,24.1852,1.8606
2014-01-31,38.5215,7976.9158,25.0007,1.9234
2014-02-03,37.6198,7787.5859,24.4155,1.8784
2014-02-04,38.2241,7909.4787,24.8077,1.9085
2014-02-05,37.9651,7852.7223,24.6396,1.8956
2014-02-06,40.0082,8280.6071,25.9656,1.9976
2014-02-07,40.0658,8286.2981,26.003,2.0005
2014-02-10,39.2217,8118.9369,25.4551,1.9583
2014-02-11,38.9339,8074.517,25.2684,1.944
2014-02-12,38.4927,7982.3657,24.982,1.922
2014-02-13,39.3272,8152.0653,25.5236,1.9636
2014-02-14,39.7876,8241.4181,25.8224,1.9866
2014-02-18,39.4615,8177.5526,25.6108,1.9703
2014-02-19,39.2697,8132.6008,25.4863,1.9607
2014-02-20,39.6054,8207.5884,25.7041,1.9775
2014-02-21,40.1425,8316.7375,26.0528,2.0043
2014-02-24,40.1138,8317.4919,26.0341,2.0029
2014-02-25,40.5358,8403.0507,26.308,2.024
2014-02-26,41.9938,8704.366,27.2542,2.0968
2014-02-27,42.5214,8816.3884,27.5966,2.1231
2014-02-28,42.0897,8730.0353,23.9894,2.06
2014-03-03,42.0513,8716.224,23.9675,2.0581
2014-03-04,41.9362,8691.694,23.9019,2.0525
2014-03-05,41.3895,8574.8633,23.5903,2.0257
2014-03-06,41.1497,8525.0112,23.4536,2.014
2014-03-07,40.344,8359.5615,22.9944,1.9746
2014-03-10,39.3656,8163.2644,22.4368,1.9267
2014-03-11,39.4615,8182.141,22.4914,1.9314
2014-03-12,39.7684,8247.8675,22.6664,1.9464
2014-03-13,38.7037,8039.7465,22.0595,1.8943
2014-03-14,38.3872,7968.5325,21.8791,1.8788
2014-03-17,38.4256,7978.9004,21.901,1.8807
2014-03-18,38.9435,8085.2162,22.1962,1.906
2014-03-19,39.6533,8230.5371,22.6008,1.9408
2014-03-20,38.675,8016.3972,22.0431,1.8929
2014-03-21,37.9556,7852.4414,21.6331,1.8577
2014-03-24,37.5815,7799.9526,21.4199,1.8394
2014-03-25,37.5239,7784.2442,21.3871,1.8365
2014-03-26,37.0923,7701.9605,21.1411,1.8154
2014-03-27,37.3992,7761.1133,21.316,1.8304
2014-03-28,37.9651,7872.0154,21.6386,1.8581
2014-03-31,38.0035,7880.5051,21.6605,1.86
2014-04-01,38.7517,8033.3767,22.0869,1.8966
2014-04-02,38.8284,8059.434,22.1306,1.9004
2014-04-03,38.886,8072.9512,22.1634,1.9032
2014-04-04,38.8284,8056.3037,22.1306,1.9004
2014-04-07,37.5911,7810.4486,21.4254,1.8398
2014-04-08,37.9747,7891.2763,21.6441,1.8586
2014-04-09,38.0035,7900.2261,21.6605,1.86
2014-04-10,37.5815,7812.5199,21.4199,1.8394
2014-04-11,37.1498,7723.975,21.1739,1.8182
2014-04-14,37.3609,7767.6949,21.2942,1.8286
2014-04-15,37.2074,7729.0404,21.2067,1.821
2014-04-16,37.1882,7733.7169,21.1958,1.8201
2014-04-17,36.6606,7626.2954,20.8951,1.7943
2014-04-21,36.4784,7589.0212,20.7912,1.7854
2014-04-22,36.8621,7670.1624,21.0099,1.8041
2014-04-23,36.6319,7618.2847,20.8787,1.7929
2014-04-24,37.898,7879.0388,21.6003,1.8548
2014-04-25,37.0347,7696.0015,21.1083,1.8126
2014-04-28,37.2745,7745.8539,21.245,1.8243
2014-04-29,37.1594,7725.3932,21.1794,1.8187
2014-04-30,37.0155,7698.4868,21.0973,1.8117
2014-05-01,37.7637,7848.542,21.5238,1.8483
2014-05-02,38.2529,7955.2996,21.8026,1.8722
2014-05-05,37.6102,7822.0958,21.4363,1.8408
2014-05-06,37.0251,7702.4092,21.1028,1.8121
2014-05-07,36.9868,7695.7976,21.0809,1.8102
2014-05-08,36.8237,7665.1159,20.988,1.8023
2014-05-09,36.8333,7660.2734,20.9935,1.8027
2014-05-12,37.6294,7832.1317,21.4472,1.8417
2014-05-13,38.157,7943.6226,21.7479,1.8675
2014-05-14,37.0155,7706.9387,21.0973,1.8117
2014-05-15,36.9196,7680.8623,21.0427,1.807
2014-05-16,36.958,7692.4824,21.0645,1.8088
2014-05-19,36.7757,7649.8865,20.9607,1.7999
2014-05-20,36.4688,7590.7334,20.7857,1.7849
2014-05-21,36.7182,7638.8736,20.9279,1.7971
2014-05-22,37.3992,7776.8107,21.316,1.8304
2014-05-23,38.886,8080.8246,22.1634,1.9032
2014-05-27,38.8188,8069.0196,22.1252,1.8999
2014-05-28,38.7229,8045.1344,22.0705,1.8952
2014-05-29,39.2025,8144.8392,22.3438,1.9187
2014-05-30,39.2313,8159.4236,19.0134,1.8595
2014-06-02,39.1737,8143.7152,18.9855,1.8568
2014-06-03,39.145,8136.0175,18.9715,1.8554
2014-06-04,38.9052,8087.1042,18.8553,1.844
2014-06-05,39.3176,8178.7604,19.0552,1.8636
2014-06-06,39.9795,8316.9916,19.376,1.895
2014-06-09,40.1329,8346.5682,19.4503,1.9022
2014-06-10,39.9699,8314.3214,19.3713,1.8945
2014-06-11,39.2697,8167.9134,19.0319,1.8613
2014-06-12,38.8572,8077.8224,18.8321,1.8418
2014-06-13,38.5407,8019.4423,18.6786,1.8268
2014-06-16,39.1162,8131.1371,18.9576,1.854
2014-06-17,39.615,8234.9303,19.1993,1.8777
2014-06-18,39.7301,8259.1474,19.2551,1.8831
2014-06-19,39.4807,8203.8075,19.1342,1.8713
2014-06-20,39.0203,8118.208,18.9111,1.8495
2014-06-23,38.8476,8079.5346,18.8274,1.8413
2014-06-24,39.3752,8191.3385,19.0831,1.8663
2014-06-25,39.826,8287.102,19.3016,1.8877
2014-06-26,39.6342,8244.6532,19.2086,1.8786
2014-06-27,39.8931,8300.4722,19.3341,1.8909
2014-06-30,40.2672,8379.5692,19.5154,1.9086
2014-07-01,40.814,8491.7051,19.7804,1.9345
2014-07-02,40.2193,8362.7746,19.4922,1.9063
2014-07-03,40.2193,8363.7422,19.4922,1.9063
2014-07-07,39.4039,8195.295,19.097,1.8677
2014-07-08,39.1929,8147.8153,18.9948,1.8577
2014-07-09,39.2984,8169.99,19.0459,1.8627
2014-07-10,38.9915,8105.1973,18.8971,1.8481
2014-07-11,38.627,8029.0776,18.7205,1.8309
2014-07-14,38.416,7982.537,18.6182,1.8209
2014-07-15,38.2625,7955.1491,18.5438,1.8136
2014-07-16,39.0299,8109.3052,18.9157,1.85
2014-07-17,37.7158,7838.3088,18.2789,1.7877
2014-07-18,37.8213,7862.0487,18.33,1.7927
2014-07-21,37.7349,7838.9542,18.2881,1.7886
2014-07-22,38.2337,7949.6422,18.5299,1.8122
2014-07-23,38.8572,8070.6289,18.8321,1.8418
2014-07-24,37.6678,7825.8959,18.2556,1.7854
2014-07-25,36.8621,7665.1277,17.8651,1.7472
2014-07-28,36.1043,7509.8856,17.4979,1.7113
2014-07-29,35.9412,7474.8188,17.4188,1.7036
2014-07-30,35.5192,7387.3722,17.2143,1.6836
2014-07-31,34.7518,7230.3989,16.8424,1.6472
2014-08-01,34.6847,7214.5234,16.8098,1.644
2014-08-04,35.0012,7277.9171,16.9633,1.659
2014-08-05,34.7135,7218.7782,16.8238,1.6454
2014-08-06,34.4641,7167.5036,16.7029,1.6335
2014-08-07,34.4928,7173.9496,16.7169,1.6349
2014-08-08,35.1451,7296.6869,17.033,1.6658
2014-08-11,35.0492,7282.5042,16.9865,1.6613
2014-08-12,35.0588,7277.0358,16.9911,1.6617
2014-08-13,35.0684,7277.2019,16.9958,1.6622
2014-08-14,35.6535,7394.0807,17.2794,1.6899
2014-08-15,35.4329,7343.6176,17.1725,1.6795
2014-08-18,36.018,7464.2528,17.456,1.7072
2014-08-19,37.217,7706.9607,18.0371,1.764
2014-08-20,37.4088,7744.0911,18.1301,1.7731
2014-08-21,37.428,7751.6231,18.1394,1.774
2014-08-22,37.5719,7776.3406,18.2091,1.7809
2014-08-25,37.3609,7736.3737,18.1068,1.7708
2014-08-26,37.2841,7724.7144,18.0697,1.7672
2014-08-27,37.3225,7731.3266,18.0883,1.769
2014-08-28,37.3609,7732.9303,18.1068,1.7708
2014-08-29,37.5815,7776.8197,16.0858,1.7173
2014-09-02,37.5047,7760.465,16.053,1.7138
2014-09-03,36.699,7604.0792,15.7081,1.677
2014-09-04,37.1306,7696.0744,15.8928,1.6967
2014-09-05,37.2937,7732.3933,15.9626,1.7041
2014-09-08,37.4568,7767.1471,16.0324,1.7116
2014-09-09,37.5143,7775.6567,16.0571,1.7142
2014-09-10,37.7925,7830.8731,16.1761,1.7269
2014-09-11,37.9939,7875.3694,16.2623,1.7361
2014-09-12,37.4664,7762.9308,16.0365,1.712
2014-09-15,37.6294,7799.5627,16.1063,1.7195
2014-09-16,37.5335,7784.7539,16.0653,1.7151
2014-09-17,39.7109,8240.9928,16.9973,1.8146
2014-09-18,39.6917,8236.5911,16.989,1.8137
2014-09-19,39.356,8160.3438,16.8453,1.7984
2014-09-22,38.2529,7929.0013,16.3732,1.748
2014-09-23,38.416,7968.4505,16.443,1.7554
2014-09-24,38.3296,7948.1733,16.406,1.7515
2014-09-25,37.8309,7845.3111,16.1925,1.7287
2014-09-26,38.1186,7904.763,16.3157,1.7418
2014-09-29,37.8021,7837.2999,16.1802,1.7274
2014-09-30,37.2457,7724.6759,15.9421,1.7019
2014-10-01,36.9772,7666.1823,15.8272,1.6897
2014-10-02,37.4184,7755.5264,16.016,1.7098
2014-10-03,38.2241,7955.819,16.3609,1.7466
2014-10-06,38.7133,8061.746,16.5703,1.769
2014-10-07,38.2241,7962.3927,16.3609,1.7466
2014-10-08,39.2025,8160.7864,16.7797,1.7914
2014-10-09,38.1954,7958.1135,16.3486,1.7453
2014-10-10,36.8813,7688.1971,15.7861,1.6853
2014-10-13,36.0851,7519.4089,15.4453,1.6489
2014-10-14,36.8045,7662.0735,15.7532,1.6818
2014-10-15,38.1186,7927.6075,16.3157,1.7418
2014-10-16,38.0611,7917.171,16.2911,1.7392
2014-10-17,39.7684,8277.1854,17.0219,1.8172
2014-10-20,41.1977,8571.4182,17.6336,1.8825
2014-10-21,41.2072,8573.1576,17.6377,1.883
2014-10-22,41.0538,8541.2575,17.572,1.8759
2014-10-23,41.543,8640.9239,17.7814,1.8983
2014-10-24,41.9746,8726.0844,17.9662,1.918
2014-10-27,41.9938,8731.7545,17.9744,1.9189
2014-10-28,42.1281,8756.7324,18.0319,1.925
2014-10-29,41.6485,8660.6836,17.8266,1.9031
2014-10-30,41.5813,8642.56,17.7978,1.9001
2014-10-31,41.3224,8592.4655,17.687,1.8882
2014-11-03,41.5526,8641.7242,17.7855,1.8987
2014-11-04,40.9579,8509.4639,17.531,1.8716
2014-11-05,40.9866,8507.1694,17.5433,1.8729
2014-11-06,42.1281,8747.0284,18.0319,1.925
2014-11-07,42.7228,8870.5239,18.2864,1.9522
2014-11-10,43.4422,9022.2663,18.5943,1.9851
2014-11-11,44.4973,9244.5924,19.046,2.0333
2014-11-12,43.7012,9079.5607,18.7052,1.9969
2014-11-13,43.7971,9090.0681,18.7462,2.0013
2014-11-14,43.7779,9089.0936,18.738,2.0004
2014-11-17,43.7779,9081.5808,18.738,2.0004
2014-11-18,43.8259,9093.0952,18.7586,2.0026
2014-11-19,43.8834,9109.4793,18.7832,2.0052
2014-11-20,45.0536,9347.6699,19.2841,2.0587
2014-11-21,45.3606,9412.0961,19.4155,2.0727
2014-11-24,45.5716,9455.3718,19.5058,2.0824
2014-11-25,45.092,9361.5142,19.3005,2.0605
2014-11-26,44.9481,9329.4754,19.2389,2.0539
2014-11-28,45.3126,9401.5208,15.8737,1.9633
2014-12-01,44.3822,9206.1896,15.5477,1.9229
2014-12-02,44.7563,9283.4179,15.6788,1.9392
2014-12-03,44.4014,9208.7294,15.5545,1.9238
2014-12-04,43.9026,9106.0714,15.3797,1.9022
2014-12-05,43.6916,9056.222,15.3058,1.893
2014-12-08,43.6532,9057.0902,15.2924,1.8914
2014-12-09,43.9506,9114.1424,15.3965,1.9042
2014-12-10,41.6389,8642.6665,14.5867,1.8041
2014-12-11,41.5526,8618.2468,14.5565,1.8003
2014-12-12,40.5838,8415.0189,14.2171,1.7584
2014-12-15,39.9795,8293.5404,14.0054,1.7322
2014-12-16,39.6342,8216.8349,13.8844,1.7172
2014-12-17,41.3511,8573.5802,14.4859,1.7916
2014-12-18,41.8979,8688.6917,14.6774,1.8153
2014-12-19,41.8883,8621.2155,14.6741,1.8149
2014-12-22,41.9746,8705.4243,14.7043,1.8186
2014-12-23,41.6101,8633.0658,14.5766,1.8028
2014-12-24,41.6005,8639.4652,14.5733,1.8024
2014-12-26,41.9746,8717.0065,14.7043,1.8186
2014-12-29,42.4638,8813.2295,14.8757,1.8398
2014-12-30,42.6269,8846.243,14.9328,1.8469
2014-12-31,42.9818,8924.6879,15.0572,1.8623
2015-01-02,42.483,8822.3429,14.8824,1.8407
2015-01-05,42.1569,8751.9336,14.7682,1.8265
2015-01-06,41.802,8681.6275,14.6438,1.8112
2015-01-07,43.8642,9104.4353,15.3663,1.9005
2015-01-08,44.9481,9335.1099,15.746,1.9475
2015-01-09,44.881,9318.5516,15.7225,1.9446
2015-01-12,45.1496,9377.5853,15.8166,1.9562
2015-01-13,44.3918,9209.8072,15.5511,1.9234
2015-01-14,43.893,9110.2796,15.3764,1.9018
2015-01-15,40.7468,8445.5281,14.2742,1.7654
2015-01-16,41.4375,8589.235,14.5162,1.7954
2015-01-20,40.6029,8411.611,14.2238,1.7592
2015-01-21,41.5046,8599.2197,14.5397,1.7983
2015-01-22,42.0418,8714.7829,14.7279,1.8215
2015-01-23,41.9458,8683.3895,14.6942,1.8174
2015-01-26,43.0585,8918.4178,15.084,1.8656
2015-01-27,43.1065,8925.2265,15.1008,1.8677
2015-01-28,42.8379,8875.1717,15.0068,1.856
2015-01-29,44.3246,9190.6349,15.5276,1.9205
2015-01-30,43.0777,8932.8487,15.0908,1.8664
2015-02-02,42.8187,8877.175,15.0,1.8552
2015-02-03,43.5765,9036.3388,15.2655,1.888
2015-02-04,44.574,9239.2497,15.615,1.9313
2015-02-05,44.5549,9242.0356,15.6082,1.9304
2015-02-06,46.0608,9552.3652,16.1358,1.9957
2015-02-09,46.4637,9642.5511,16.2769,2.0131
2015-02-10,47.3653,9823.7059,16.5928,2.0522
2015-02-11,47.1639,9784.091,16.5222,2.0435
2015-02-12,48.2094,9991.9323,16.8885,2.0888
2015-02-13,47.9408,9939.2167,16.7944,2.0771
2015-02-17,48.3533,10020.497,16.9389,2.095
2015-02-18,48.0943,9966.0754,16.8482,2.0838
2015-02-19,48.1902,9987.5185,16.8818,2.0879
2015-02-20,48.267,9999.8522,16.9086,2.0913
2015-02-23,47.7682,9898.2403,16.7339,2.0697
2015-02-24,49.1206,10186.3627,17.2077,2.1282
2015-02-25,48.6123,10082.6133,17.0296,2.1062
2015-02-26,48.0463,9971.5602,16.8314,2.0817
2015-02-27,48.1614,9992.4283,15.9939,2.0355
2015-03-02,47.9984,9960.361,15.9398,2.0286
2015-03-03,47.4325,9845.5515,15.7519,2.0047
2015-03-04,48.008,9955.8393,15.943,2.029
2015-03-05,48.0751,9973.96,15.9653,2.0319
2015-03-06,46.6363,9672.4153,15.4875,1.9711
2015-03-09,46.7322,9693.8748,15.5193,1.9751
2015-03-10,46.3102,9606.7155,15.3792,1.9573
2015-03-11,46.2335,9592.1774,15.3537,1.954
2015-03-12,47.538,9863.7415,15.7869,2.0092
2015-03-13,47.1927,9785.7988,15.6722,1.9946
2015-03-16,47.2982,9815.8839,15.7073,1.999
2015-03-17,46.8665,9716.6557,15.5639,1.9808
2015-03-18,47.6914,9889.0613,15.8379,2.0157
2015-03-19,47.6243,9879.0795,15.8156,2.0128
2015-03-20,48.2094,9996.1148,16.0099,2.0375
2015-03-23,47.5188,9860.8895,15.7805,2.0084
2015-03-24,48.3821,10037.1208,16.0672,2.0448
2015-03-25,47.6531,9886.4877,15.8251,2.014
2015-03-26,47.4037,9830.6305,15.7423,2.0035
2015-03-27,48.3725,10028.1821,16.064,2.0444
2015-03-30,49.3892,10225.9768,16.4017,2.0874
2015-03-31,49.6962,10296.3374,16.5036,2.1004
2015-04-01,49.7345,10302.0413,16.5164,2.102
2015-04-02,51.0199,10573.5707,16.9432,2.1563
2015-04-06,49.936,10346.7111,16.5832,2.1105
2015-04-07,48.6698,10084.6071,16.1628,2.057
2015-04-08,49.1686,10185.0524,16.3284,2.0781
2015-04-09,48.43,10032.6801,16.0831,2.0469
2015-04-10,48.4396,10036.2973,16.0863,2.0473
2015-04-13,48.3533,10019.7071,16.0577,2.0436
2015-04-14,48.8904,10125.8563,16.236,2.0663
2015-04-15,49.3413,10224.8063,16.3858,2.0854
2015-04-16,48.1039,9969.7975,15.9748,2.0331
2015-04-17,46.598,9654.2013,15.4747,1.9694
2015-04-20,46.2622,9580.5018,15.3632,1.9552
2015-04-21,47.1351,9765.9851,15.6531,1.9921
2015-04-22,46.4349,9620.2557,15.4206,1.9625
2015-04-23,44.8138,9288.1739,14.8822,1.894
2015-04-24,45.2647,9384.3066,15.032,1.9131
2015-04-27,44.4781,9216.9786,14.7708,1.8798
2015-04-28,44.6124,9248.8375,14.8153,1.8855
2015-04-29,44.3246,9190.7197,14.7198,1.8734
2015-04-30,43.9314,9108.1513,14.5892,1.8567
2015-05-01,44.9098,9307.7552,14.9141,1.8981
2015-05-04,44.4973,9228.5955,14.7771,1.8807
2015-05-05,43.471,9022.4878,14.4363,1.8373
2015-05-06,43.4422,9022.5924,14.4267,1.8361
2015-05-07,44.574,9253.1506,14.8026,1.8839
2015-05-08,45.5524,9463.0845,15.1275,1.9252
2015-05-11,44.7947,9314.1209,14.8759,1.8932
2015-05-12,44.7851,9323.338,14.8727,1.8928
2015-05-13,44.7275,9308.8345,14.8536,1.8904
2015-05-14,45.351,9442.843,15.0606,1.9167
2015-05-15,45.6579,9508.1952,15.1626,1.9297
2015-05-18,46.4637,9678.3751,15.4301,1.9638
2015-05-19,46.6843,9730.8936,15.5034,1.9731
2015-05-20,46.761,9744.4926,15.5289,1.9763
2015-05-21,46.4349,9676.2884,15.4206,1.9625
2015-05-22,46.55,9703.4172,15.4588,1.9674
2015-05-26,45.4661,9468.4066,15.0988,1.9216
2015-05-27,45.2551,9432.9658,15.0288,1.9127
2015-05-28,45.5812,9489.2747,15.1371,1.9265
2015-05-29,44.7275,9315.4082,14.393,1.8221
2015-06-01,45.1112,9391.8551,14.5164,1.8378
2015-06-02,45.1304,9397.8374,14.5226,1.8386
2015-06-03,45.351,9441.904,14.5936,1.8475
2015-06-04,44.5261,9266.9939,14.3282,1.8139
2015-06-05,44.8042,9321.4945,14.4177,1.8253
2015-06-08,44.3534,9230.0572,14.2726,1.8069
2015-06-09,44.4398,9246.9604,14.3004,1.8104
2015-06-10,45.2455,9416.8273,14.5597,1.8432
2015-06-11,45.2743,9416.7228,14.5689,1.8444
2015-06-12,45.5332,9474.006,14.6523,1.855
2015-06-15,45.8594,9536.8885,14.7572,1.8683
2015-06-16,45.6196,9488.7179,14.68,1.8585
2015-06-17,45.0824,9374.7429,14.5072,1.8366
2015-06-18,45.3798,9430.5303,14.6029,1.8487
2015-06-19,46.6555,9707.8337,15.0134,1.9007
2015-06-22,47.4804,9870.5355,15.2788,1.9343
2015-06-23,47.0008,9783.8983,15.1245,1.9148
2015-06-24,48.9768,10197.5401,15.7604,1.9952
2015-06-25,49.3413,10278.6478,15.8776,2.0101
2015-06-26,49.8592,10392.5882,16.0443,2.0312
2015-06-29,48.7562,10171.6294,15.6894,1.9863
2015-06-30,48.9576,10225.6783,15.7542,1.9945
2015-07-01,49.0055,10237.5037,15.7696,1.9964
2015-07-02,49.1111,10251.3189,15.8036,2.0007
2015-07-06,48.8521,10194.6518,15.7202,1.9902
2015-07-07,50.617,10551.9474,16.2882,2.0621
2015-07-08,50.2525,10483.66,16.1709,2.0472
2015-07-09,50.569,10555.1458,16.2727,2.0601
2015-07-10,51.1254,10672.9332,16.4518,2.0828
2015-07-13,51.2309,10694.8836,16.4857,2.0871
2015-07-14,51.5378,10750.5436,16.5845,2.0996
2015-07-15,51.1733,10671.9261,16.4672,2.0847
2015-07-16,50.7225,10587.6713,16.3221,2.0664
2015-07-17,50.3005,10497.6784,16.1863,2.0492
2015-07-20,49.6386,10362.6361,15.9733,2.0222
2015-07-21,49.8688,10401.8768,16.0474,2.0316
2015-07-22,51.0199,10640.0267,16.4178,2.0785
2015-07-23,50.3196,10505.2266,16.1925,2.05
2015-07-24,48.5068,10127.6519,15.6091,1.9761
2015-07-27,48.4972,10124.9735,15.606,1.9757
2015-07-28,48.9192,10204.6362,15.7418,1.9929
2015-07-29,49.5043,10333.9024,15.9301,2.0167
2015-07-30,50.0511,10441.1856,16.1061,2.039
2015-07-31,50.876,10598.5975,16.3715,2.0726
2015-08-03,50.3772,10505.0197,16.211,2.0523
2015-08-04,49.207,10271.53,15.8344,2.0046
2015-08-05,48.3341,10094.465,15.5535,1.9691
2015-08-06,48.008,10022.179,15.4486,1.9558
2015-08-07,47.8833,9995.4977,15.4085,1.9507
2015-08-10,48.8904,10202.5484,15.7326,1.9917
2015-08-11,49.3509,10300.4378,15.8807,2.0105
2015-08-12,49.6194,10357.5922,15.9672,2.0214
2015-08-13,50.2909,10493.4348,16.1832,2.0488
2015-08-14,50.3964,10510.6897,16.2172,2.0531
2015-08-17,51.7393,10759.8366,16.6493,2.1078
2015-08-18,53.3219,11103.1791,17.1586,2.1723
2015-08-19,52.7464,11003.5121,16.9734,2.1488
2015-08-20,52.1134,10868.0533,16.7697,2.123
2015-08-21,51.2693,10699.3368,16.4981,2.0886
2015-08-24,48.0368,10025.8319,15.4579,1.957
2015-08-25,46.2143,9642.1354,14.8714,1.8827
2015-08-26,47.6723,9943.7711,15.3406,1.9421
2015-08-27,49.2166,10257.6177,15.8375,2.005
2015-08-28,48.3725,10086.397,15.5659,1.9706
2015-08-31,48.8233,10190.6858,14.8927,1.9548
2015-09-01,47.4133,9894.3037,14.4626,1.8983
2015-09-02,48.9288,10199.1759,14.9249,1.959
2015-09-03,49.5331,10324.095,15.1092,1.9832
2015-09-04,48.3533,10083.2313,14.7493,1.9359
2015-09-08,50.195,10445.99,15.3111,2.0097
2015-09-09,49.5427,10305.8003,15.1122,1.9836
2015-09-10,49.1302,10222.2423,14.9863,1.967
2015-09-11,50.1086,10418.4404,15.2848,2.0062
2015-09-14,50.2141,10468.8767,15.317,2.0104
2015-09-15,50.2237,10483.1374,15.3199,2.0108
2015-09-16,50.1662,10482.0921,15.3023,2.0085
2015-09-17,50.8184,10615.7081,15.5013,2.0346
2015-09-18,49.6386,10359.8188,15.1414,1.9874
2015-09-21,49.4851,10320.0936,15.0946,1.9812
2015-09-22,47.4325,9893.087,14.4685,1.8991
2015-09-23,47.7682,9961.1648,14.5709,1.9125
2015-09-24,48.0751,10020.8942,14.6645,1.9248
2015-09-25,48.4012,10085.9805,14.764,1.9379
2015-09-28,45.6579,9505.5661,13.9272,1.828
2015-09-29,45.0824,9382.4217,13.7516,1.805
2015-09-30,46.1663,9611.2133,14.0822,1.8484
2015-10-01,46.8378,9740.1692,14.2871,1.8753
2015-10-02,47.0776,9789.9142,14.3602,1.8849
2015-10-05,48.3533,10064.4493,14.7493,1.9359
2015-10-06,47.0776,9802.4355,14.3602,1.8849
2015-10-07,48.43,10080.8686,14.7728,1.939
2015-10-08,48.9864,10203.6645,14.9425,1.9613
2015-10-09,49.2358,10510.6029,15.0185,1.9713
2015-10-12,49.1015,10486.7891,14.9776,1.9659
2015-10-13,48.7274,10405.3805,14.8635,1.9509
2015-10-14,47.1063,10060.8529,14.369,1.886
2015-10-15,47.7586,10187.9232,14.5679,1.9121
2015-10-16,48.0176,10237.5167,14.6469,1.9225
2015-10-19,48.4108,10327.5147,14.7669,1.9382
2015-10-20,49.7058,10606.1593,15.1619,1.9901
2015-10-21,49.9647,10658.8832,15.2409,2.0005
2015-10-22,49.7249,10613.1835,15.1677,1.9909
2015-10-23,49.9935,10670.5151,15.2497,2.0016
2015-10-26,49.5331,10570.8014,15.1092,1.9832
2015-10-27,48.478,10355.3862,14.7874,1.9409
2015-10-28,49.1015,10484.9109,14.9776,1.9659
2015-10-29,47.2502,10090.8396,14.4129,1.8918
2015-10-30,48.0272,10261.8454,14.6499,1.9229
2015-11-02,48.2861,10320.2038,14.7289,1.9332
2015-11-03,48.3437,10336.5809,14.7464,1.9355
2015-11-04,47.9408,10250.4271,14.6235,1.9194
2015-11-05,47.068,10063.3953,14.3573,1.8845
2015-11-06,46.5404,9954.592,14.1964,1.8633
2015-11-09,45.8498,9807.5258,13.9857,1.8357
2015-11-10,47.3845,10127.4877,14.4538,1.8971
2015-11-11,47.9984,10260.5435,14.6411,1.9217
2015-11-12,46.7131,9979.9329,14.249,1.8703
2015-11-13,46.3773,9905.3729,14.1466,1.8568
2015-11-16,47.5955,10156.2339,14.5182,1.9056
2015-11-17,47.5092,10143.8765,14.4919,1.9021
2015-11-18,48.4876,10352.7941,14.7903,1.9413
2015-11-19,48.5259,10355.2603,14.802,1.9428
2015-11-20,48.9096,10439.0855,14.919,1.9582
2015-11-23,48.948,10446.5602,14.9308,1.9597
2015-11-24,49.5331,10563.2887,15.1092,1.9832
2015-11-25,49.8113,10622.0976,15.1941,1.9943
2015-11-27,49.84,10624.0255,15.2029,1.9955
2015-11-30,49.1206,10470.962,14.5816,1.8727
2015-12-01,50.1758,10696.0812,14.8948,1.913
2015-12-02,49.207,10493.6494,14.6072,1.876
2015-12-03,48.0463,10241.3228,14.2627,1.8318
2015-12-04,49.2933,10506.0068,14.6329,1.8793
2015-12-07,49.37,10516.5738,14.6556,1.8823
2015-12-08,48.0559,10239.9829,14.2655,1.8322
2015-12-09,47.2694,10067.8127,14.0321,1.8022
2015-12-10,47.749,10171.4202,14.1744,1.8205
2015-12-11,46.9145,9987.1676,13.9267,1.7886
2015-12-14,46.6267,9945.9763,13.8413,1.7777
2015-12-15,47.2118,10078.6694,14.015,1.8
2015-12-16,48.43,10332.3476,14.3766,1.8464
2015-12-17,46.6939,9963.2047,13.8612,1.7802
2015-12-18,45.5524,9719.4674,13.5224,1.7367
2015-12-21,46.0896,9834.7566,13.6818,1.7572
2015-12-22,47.0008,10027.3849,13.9523,1.7919
2015-12-23,46.8282,9989.8358,13.9011,1.7853
2015-12-24,46.8857,10005.8998,13.9182,1.7875
2015-12-28,47.1639,10062.2045,14.0007,1.7981
2015-12-29,47.5763,10151.0879,14.1232,1.8139
2015-12-30,47.3461,10098.1007,14.0548,1.8051
2015-12-31,46.9145,10014.7145,13.9267,1.7886
2016-01-04,44.8042,9546.3201,13.3003,1.7082
2016-01-05,44.881,9569.7214,13.3231,1.7111
